Name,Released_year,Rating,Genre,Sub_genre,Free
Yume Nikki,2018,9.4,Adventure,Casual,True
XERA: Survival,2021,6.7,Action,Adventure,True
ArcheBlade,2014,7.3,Action,Indie,True
Zombie Panic! Source,2008,8.5,Action,Adventure,True
Red Faction Guerrilla Steam Edition,2009,8.2,Action,N/A,False
Galaxy Life,2022,9.1,Strategy,N/A,True
Gigantic,2017,7.6,Action,Strategy,False
Fallen Earth Classic,2012,7.1,Massively Multiplayer,RPG,True
Scribble It!,2020,8.6,Casual,Indie,True
Wizard101,2018,8.2,Adventure,Casual,True
Idle Slayer,2020,8.6,Casual,Indie,True
DOOM 3,2007,8.7,Action,N/A,False
Unfortunate Spacemen,2020,8.6,Action,Indie,True
Steam Link,2015,7.7,N/A,N/A,False
NBA 2K16,2015,5.2,Sports,N/A,False
Steam Engine Simulator,2023,9.9,Simulation,N/A,True
Coloring Pixels,2018,9.6,Casual,Indie,True
Madden NFL 22,2021,5.3,Casual,Simulation,False
Fears to Fathom - Home Alone,2021,9.0,Adventure,Casual,True
Knightfall: A Daring Journey,2022,8.9,Action,Indie,True
Zula Global,2018,7.0,Action,Massively Multiplayer,True
Life is Feudal: MMO,2018,4.1,Action,Adventure,True
Town of Salem 2,2023,7.5,Action,Casual,True
Poker Night 2,2013,7.5,Casual,Sports,False
A Date with Death,2023,9.8,Indie,Simulation,True
FUCK PUTIN,2022,8.9,Action,Casual,True
Nothing,2024,9.4,Action,Adventure,True
Train Sim World 2020,2017,7.7,Simulation,N/A,False
Star Fetchers,2020,9.7,Action,Adventure,True
RetroArch,2022,9.0,N/A,N/A,True
ShareX,2015,9.6,N/A,N/A,True
Dungeons & Dragons Online,2012,7.1,Action,Adventure,True
Art of War: Red Tides,2016,7.9,Indie,Strategy,True
Eternal Card Game,2018,7.7,Casual,Massively Multiplayer,True
SuchArt: Creative Space,2021,9.8,Action,Adventure,True
Blush Blush,2020,8.7,Casual,Indie,True
Zumbi Blocks 2 Open Alpha,2023,9.0,Action,Indie,True
Contraband Police: Prologue,2021,8.9,Action,Adventure,True
Realm Grinder,2017,8.7,RPG,Strategy,True
Book of Yog Idle RPG,2022,6.5,Action,Adventure,True
SOS,2018,2.8,Action,Adventure,False
Planet Explorers,2016,6.2,Action,Adventure,True
Relic Hunters Zero: Remix,2015,9.3,Action,Indie,True
League of Maidens,2021,5.5,Action,Adventure,True
There Is No Game: Jam Edition 2015,2020,9.7,Adventure,Casual,True
At Home Alone Final,2021,9.7,Adventure,Casual,True
Wallpaper Alive,2022,9.0,Casual,N/A,True
Blood of Steel,2020,7.6,Action,Massively Multiplayer,True
Gravitas,2019,9.8,Action,Adventure,True
Lust Goddess,2024,5.1,Action,Adventure,True
PickCrafter,2017,8.7,Adventure,Casual,True
UNDEFEATED,2019,8.7,Action,Indie,True
Godot Engine,2016,8.3,N/A,N/A,True
Divine Knockout (DKO),2022,6.7,Action,N/A,True
Summoners War,2024,7.2,RPG,Strategy,True
Disney Speedstorm,2023,6.7,Action,Adventure,True
第七号列车 - Train No. 7,2021,9.8,Casual,Indie,True
Super Crate Box,2012,8.9,Action,Indie,True
Neon Beats,2019,9.6,Indie,N/A,True
Blockstorm,2015,8.0,Action,Indie,True
Endless Sky,2015,9.2,Action,Adventure,True
Serena,2014,7.7,Adventure,Indie,True
Pixel Worlds: MMO Sandbox,2017,7.4,Adventure,Indie,True
Marie's Room,2018,9.4,Adventure,Casual,True
Kidnapped Girl,2020,8.6,Adventure,Casual,True
Tanki Online,2017,6.1,Action,Massively Multiplayer,True
The Way of Life Free Edition,2016,7.4,Indie,N/A,True
Vegas Infinite by PokerStars,2023,8.1,Casual,Strategy,True
Stormgate,2024,5.0,Action,Strategy,True
Bitburner,2021,9.5,N/A,N/A,True
Madden NFL 23,2022,5.1,Simulation,Sports,False
An Arcade Full of Cats,2023,9.9,Casual,Indie,True
The Lab,2016,9.5,N/A,N/A,True
The WereCleaner,2024,10.0,Action,Casual,True
Juice Galaxy,2023,9.9,Indie,RPG,True
100 Asian Cats,2023,9.7,Action,Adventure,True
Orcs Must Die! Unchained,2017,8.7,Action,Strategy,False
REFLEXIA Prototype ver,2022,9.7,Casual,Indie,True
Undawn,2023,5.5,Adventure,Massively Multiplayer,True
Soda Dungeon,2017,9.4,Casual,RPG,True
MONOPOLY Poker,2021,7.0,Casual,Simulation,True
McOsu,2017,8.9,Indie,N/A,True
High Octane Drift,2016,5.5,Racing,Simulation,True
Friday the 13th: Killer Puzzle,2018,9.4,Casual,Indie,False
Farmer Against Potatoes Idle,2024,9.6,Casual,Indie,True
Only If,2014,3.9,Adventure,Indie,True
PRO EVOLUTION SOCCER 2019,2018,8.0,Sports,N/A,False
20 Small Mazes,2024,9.9,Adventure,Casual,True
Firestone: Online Idle RPG,2024,7.8,Action,Adventure,True
Snowbreak: Containment Zone,2023,8.0,Action,Adventure,True
100 hidden frogs,2021,9.8,Adventure,Casual,True
巫兎 - KANNAGI USAGI,2023,9.8,Action,Indie,True
"Pirates, Vikings, and Knights II",2010,8.8,Action,Indie,True
Bloons Monkey City,2020,9.1,Action,Strategy,True
Bubble People,2021,9.3,Indie,Simulation,True
Hello Neighbor 2 Alpha 1.5,2020,8.6,Adventure,Indie,True
Devolverland Expo,2020,8.9,Action,Adventure,True
TOXIKK,2016,7.7,Action,Indie,True
Himno,2019,9.1,Adventure,Casual,True
Space Hulk: Deathwing,2016,5.8,Action,Adventure,False
You Have to Win the Game,2014,9.3,Action,Indie,True
In Sink: A Co-Op Escape Prologue,2023,9.1,Adventure,Casual,True
MANDAGON,2016,9.5,Adventure,Indie,True
LET IT DIE,2018,7.4,Action,N/A,True
the static speaks my name,2015,8.2,Adventure,Indie,True
Alpaca Stacka,2021,9.7,Adventure,Casual,True
Lost Lands: A Hidden Object Adventure,2015,8.8,Adventure,Casual,True
Worlds Adrift,2017,6.4,Action,Adventure,False
Shadow Arena,2020,5.6,Action,Massively Multiplayer,True
Crysis 3,2020,7.6,Action,Adventure,False
Yi Xian: The Cultivation Card Game,2024,7.3,Casual,Indie,True
The Two of Us,2021,8.5,Casual,Indie,True
Crosshair V2,2023,9.0,N/A,N/A,True
SUCCUBUS: Prologue,2020,8.2,Action,Adventure,True
Idol Showdown,2023,9.4,Action,Indie,True
Boring Man - Online Tactical Stickman Combat,2015,8.8,Action,Indie,True
Lords Mobile,2019,6.8,Massively Multiplayer,RPG,True
OLDTV,2017,9.5,Indie,N/A,True
Snake Force,2021,9.7,Action,Indie,True
